star              20
plan              19
char              16
hear              16
pick              16
stat              15
buck              14
gall              14
hand              14
close             13
fran              13
past              13
play              13
will              13
barr              12
bell              12
count             12
free              12
gran              12
port              12
work              12
bill              11
burn              11
clean             11
crow              11
line              11
mark              11
part              11
real              11
rock              11
scar              11
shar              11
show              11
sing              11
wind              11
angel             10
bear              10
book              10
brav              10
break             10
call              10
clos              10
come              10
coup              10
direct            10
employ            10
fall              10
fell              10
fill              10
fort              10
genera            10
grav              10
gree              10
heav              10
hero              10
high              10
land              10
love              10
opera             10
plea              10
post              10
prim              10
rever             10
sever             10
statu             10
trac              10
warm              10
adam              9
advis             9
analy             9
batt              9
black             9
boat              9
brand             9
butt              9
camp              9
carr              9
cart              9
chin              9
colon             9
command           9
commen            9
compos            9
continu           9
cool              9
cove              9
cover             9
crack             9
creat             9
draw              9
drive             9
employe           9
fair              9
follow            9
form              9
franc             9
gain              9
german            9
grad              9
green             9
grow              9
hang              9
hard              9
hold              9
human             9
inter             9
join              9
kind              9
light             9
lock              9
long              9
mari              9
miss              9
need              9
operat            9
pack              9
pain              9
penn              9
poli              9
produc            9
robb              9
sand              9
sens              9
shak              9
short             9
sign              9
spec              9
stan              9
start             9
stor              9
summ              9
tens              9
thin              9
time              9
trai              9
travel            9
turn              9
walk              9
wall              9
whit              9
white             9
writ              9
abstract          8
arab              8
ball              8
band              8
batte             8
batter            8
boun              8
brave             8
breath            8
brief             8
build             8
care              8
cast              8
catch             8
cent              8
check             8
clea              8
collect           8
comb              8
commun            8
concert           8
contract          8
contribut         8
cook              8
corn              8
cour              8
determin          8
distribut         8
draft             8
dream             8
express           8
fact              8
forg              8
general           8
grave             8
guard             8
handl             8
handle            8
harri             8
head              8
horse             8
host              8
illustrat         8
indicat           8
inhibit           8
instruct          8
interview         8
invent            8
investigat        8
jack              8
list              8
look              8
marc              8
marin             8
marke             8
marr              8
master            8
mean              8
mess              8
mill              8
object            8
office            8
organi            8
pass              8
photograph        8
plane             8
plant             8
pleas             8
plum              8
project           8
pull              8
pursu             8
push              8
rain              8
rang              8
rank              8
read              8
reflect           8
resist            8
round             8
rust              8
select            8
sell              8
ship              8
stag              8
stee              8
steel             8
stud              8
